Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,9,"June 25 - June 30, 2020",06/25/2020,06/30/2020,30.3,29.3,31.4,29.3 - 31.4
Symptoms of Depressive Disorder,National Estimate,United States,United States,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,27.6,27.0,28.1,27.0 - 28.1
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,35.8,33.7,38.1,33.7 - 38.1
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,31.7,30.1,33.3,30.1 - 33.3
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,27.6,26.2,29.1,26.2 - 29.1
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,28.2,26.5,29.8,26.5 - 29.8
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,21.8,20.4,23.1,20.4 - 23.1
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,17.8,15.6,20.1,15.6 - 20.1
Symptoms of Depressive Disorder,By Age,United States,80 years and above,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,18.7,14.1,24.0,14.1 - 24.0
Symptoms of Depressive Disorder,By Sex,United States,Male,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,26.6,25.5,27.6,25.5 - 27.6
Symptoms of Depressive Disorder,By Sex,United States,Female,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,28.6,27.8,29.3,27.8 - 29.3
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,30.9,29.0,32.8,29.0 - 32.8
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,26.0,25.3,26.7,25.3 - 26.7
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,29.9,27.5,32.3,27.5 - 32.3
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,25.0,22.2,28.0,22.2 - 28.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,35.6,32.3,39.0,32.3 - 39.0
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,38.3,34.5,42.1,34.5 - 42.1
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,29.1,28.0,30.3,28.0 - 30.3
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,31.2,30.2,32.2,30.2 - 32.2
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,19.9,19.2,20.5,19.2 - 20.5
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,34.0,33.2,34.7,33.2 - 34.7
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,44.4,41.8,47.1,41.8 - 47.1
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,40.6,39.3,42.0,39.3 - 42.0
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,36.1,34.6,37.7,34.6 - 37.7
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,33.4,31.8,35.1,31.8 - 35.1
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,26.5,24.9,28.1,24.9 - 28.1
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,18.4,16.4,20.4,16.4 - 20.4
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,19.3,15.0,24.2,15.0 - 24.2
Symptoms of Anxiety Disorder,By Sex,United States,Male,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,30.7,29.6,31.9,29.6 - 31.9
Symptoms of Anxiety Disorder,By Sex,United States,Female,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,37.0,36.1,37.8,36.1 - 37.8
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,37.1,34.8,39.4,34.8 - 39.4
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,32.9,32.0,33.8,32.0 - 33.8
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,34.0,31.9,36.2,31.9 - 36.2
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,29.9,26.4,33.7,26.4 - 33.7
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,43.3,39.5,47.1,39.5 - 47.1
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,40.7,37.4,44.2,37.4 - 44.2
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,34.9,33.2,36.6,33.2 - 36.6
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,37.0,35.8,38.2,35.8 - 38.2
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,28.3,27.6,29.1,27.6 - 29.1
Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,39.0,38.3,39.6,38.3 - 39.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,50.4,47.7,53.0,47.7 - 53.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,45.9,44.5,47.3,44.5 - 47.3
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,40.0,38.5,41.5,38.5 - 41.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,38.3,36.5,40.0,36.5 - 40.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,30.8,29.3,32.3,29.3 - 32.3
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,24.5,22.5,26.7,22.5 - 26.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,25.6,20.5,31.1,20.5 - 31.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Male,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,36.5,35.5,37.5,35.5 - 37.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Female,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,41.3,40.4,42.2,40.4 - 42.2
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,43.4,41.1,45.6,41.1 - 45.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,37.2,36.3,38.1,36.3 - 38.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,40.6,38.3,42.9,38.3 - 42.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,36.6,32.7,40.6,32.7 - 40.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,47.7,43.9,51.5,43.9 - 51.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,48.4,44.8,52.0,44.8 - 52.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,40.7,39.3,42.2,39.3 - 42.2
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,42.2,41.0,43.4,41.0 - 43.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,10,"July 2 - July 7, 2020",07/02/2020,07/07/2020,31.7,30.9,32.5,30.9 - 32.5
Symptoms of Depressive Disorder,National Estimate,United States,United States,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,28.1,27.3,28.9,27.3 - 28.9
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,39.0,36.6,41.5,36.6 - 41.5
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,32.3,30.6,33.9,30.6 - 33.9
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,28.5,27.0,30.1,27.0 - 30.1
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,29.2,27.1,31.3,27.1 - 31.3
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,21.7,19.9,23.6,19.9 - 23.6
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,13.9,12.1,15.8,12.1 - 15.8
Symptoms of Depressive Disorder,By Age,United States,80 years and above,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,12.0,9.2,15.2,9.2 - 15.2
Symptoms of Depressive Disorder,By Sex,United States,Male,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,26.0,24.6,27.4,24.6 - 27.4
Symptoms of Depressive Disorder,By Sex,United States,Female,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,30.0,29.0,31.1,29.0 - 31.1
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,31.0,28.5,33.6,28.5 - 33.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,26.6,25.8,27.4,25.8 - 27.4
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,30.0,28.0,32.0,28.0 - 32.0
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,26.4,22.2,30.9,22.2 - 30.9
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,36.1,32.3,40.0,32.3 - 40.0
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,34.9,30.1,39.9,30.1 - 39.9
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,28.6,27.1,30.1,27.1 - 30.1
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,32.3,31.0,33.6,31.0 - 33.6
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,21.6,20.6,22.6,20.6 - 22.6
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,35.6,34.7,36.5,34.7 - 36.5
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,47.7,45.3,50.1,45.3 - 50.1
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,42.9,41.2,44.6,41.2 - 44.6
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,37.7,35.9,39.5,35.9 - 39.5
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,34.7,32.6,36.8,32.6 - 36.8
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,27.8,25.9,29.7,25.9 - 29.7
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,17.8,15.8,20.0,15.8 - 20.0
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,15.6,11.9,20.0,11.9 - 20.0
Symptoms of Anxiety Disorder,By Sex,United States,Male,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,31.5,30.2,32.9,30.2 - 32.9
Symptoms of Anxiety Disorder,By Sex,United States,Female,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,39.4,38.3,40.6,38.3 - 40.6
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,39.3,36.2,42.4,36.2 - 42.4
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,34.1,33.2,35.1,33.2 - 35.1
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,36.9,34.7,39.1,34.7 - 39.1
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,30.2,26.2,34.4,26.2 - 34.4
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,46.2,42.3,50.1,42.3 - 50.1
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,44.0,38.4,49.6,38.4 - 49.6
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,34.6,32.9,36.2,32.9 - 36.2
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,39.3,38.1,40.6,38.1 - 40.6
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,30.6,29.7,31.5,29.7 - 31.5
Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,40.3,39.4,41.2,39.4 - 41.2
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,55.0,52.7,57.2,52.7 - 57.2
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,46.8,45.2,48.4,45.2 - 48.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,41.6,39.8,43.3,39.8 - 43.3
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,39.8,37.7,41.8,37.7 - 41.8
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,31.8,29.7,34.0,29.7 - 34.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,21.4,19.4,23.6,19.4 - 23.6
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,18.9,15.3,23.0,15.3 - 23.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Male,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,36.1,34.7,37.4,34.7 - 37.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Female,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,44.2,43.0,45.5,43.0 - 45.5
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,44.0,41.0,47.0,41.0 - 47.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,38.5,37.5,39.4,37.5 - 39.4
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,42.7,40.3,45.0,40.3 - 45.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,36.5,31.8,41.3,31.8 - 41.3
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,51.2,47.5,54.9,47.5 - 54.9
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,49.2,43.7,54.7,43.7 - 54.7
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,39.4,37.7,41.1,37.7 - 41.1
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,44.6,43.3,46.0,43.3 - 46.0
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,11,"July 9 - July 14, 2020",07/09/2020,07/14/2020,34.4,33.4,35.3,33.4 - 35.3
Symptoms of Depressive Disorder,National Estimate,United States,United States,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,29.6,28.8,30.5,28.8 - 30.5
Symptoms of Depressive Disorder,By Age,United States,18 - 29 years,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,41.7,39.5,43.9,39.5 - 43.9
Symptoms of Depressive Disorder,By Age,United States,30 - 39 years,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,32.8,31.0,34.6,31.0 - 34.6
Symptoms of Depressive Disorder,By Age,United States,40 - 49 years,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,31.0,29.5,32.6,29.5 - 32.6
Symptoms of Depressive Disorder,By Age,United States,50 - 59 years,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,28.4,26.8,30.2,26.8 - 30.2
Symptoms of Depressive Disorder,By Age,United States,60 - 69 years,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,23.6,21.8,25.5,21.8 - 25.5
Symptoms of Depressive Disorder,By Age,United States,70 - 79 years,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,16.9,15.1,18.8,15.1 - 18.8
Symptoms of Depressive Disorder,By Age,United States,80 years and above,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,12.6,9.7,15.9,9.7 - 15.9
Symptoms of Depressive Disorder,By Sex,United States,Male,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,27.8,26.6,29.0,26.6 - 29.0
Symptoms of Depressive Disorder,By Sex,United States,Female,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,31.3,30.2,32.4,30.2 - 32.4
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,34.2,31.8,36.7,31.8 - 36.7
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,27.7,26.8,28.6,26.8 - 28.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,32.1,29.7,34.6,29.7 - 34.6
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,30.5,26.9,34.2,26.9 - 34.2
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,33.0,29.0,37.2,29.0 - 37.2
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,38.4,34.1,42.8,34.1 - 42.8
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,31.4,29.6,33.2,29.6 - 33.2
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,33.0,31.6,34.4,31.6 - 34.4
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,22.2,21.2,23.3,21.2 - 23.3
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,36.1,35.2,36.9,35.2 - 36.9
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,46.6,44.3,48.8,44.3 - 48.8
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,42.8,40.9,44.8,40.9 - 44.8
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,39.9,37.8,42.0,37.8 - 42.0
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,36.1,34.0,38.1,34.0 - 38.1
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,27.3,25.5,29.2,25.5 - 29.2
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,19.5,17.4,21.7,17.4 - 21.7
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,13.4,10.6,16.7,10.6 - 16.7
Symptoms of Anxiety Disorder,By Sex,United States,Male,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,32.1,30.8,33.5,30.8 - 33.5
Symptoms of Anxiety Disorder,By Sex,United States,Female,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,39.8,38.8,40.7,38.8 - 40.7
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,41.9,39.4,44.4,39.4 - 44.4
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,34.2,33.4,35.1,33.4 - 35.1
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,35.8,33.4,38.3,33.4 - 38.3
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,35.0,31.0,39.2,31.0 - 39.2
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,12,"July 16 - July 21, 2020",07/16/2020,07/21/2020,43.8,39.8,47.9,39.8 - 47.9
